FinancialYear,Quarter,OrgCode,OrgName,Measure,Value
2022-2023,1,E54000030,NHS South East London Integrated Care Board,Women known to be smokers at time of delivery,225
2022-2023,1,E54000030,NHS South East London Integrated Care Board,Women whose smoking status was not known at time of delivery,32
2022-2023,1,E54000031,NHS South West London Integrated Care Board,Number of maternities,2492
2022-2023,1,E54000031,NHS South West London Integrated Care Board,Women known to be non-smokers at time of delivery,2216
2022-2023,1,E54000031,NHS South West London Integrated Care Board,Women known to be smokers at time of delivery,145
2022-2023,1,E54000031,NHS South West London Integrated Care Board,Women whose smoking status was not known at time of delivery,131
2022-2023,1,E54000032,NHS Kent and Medway Integrated Care Board,Number of maternities,4477
2022-2023,1,E54000032,NHS Kent and Medway Integrated Care Board,Women known to be non-smokers at time of delivery,3987
2022-2023,1,E54000032,NHS Kent and Medway Integrated Care Board,Women known to be smokers at time of delivery,489
2022-2023,1,E54000032,NHS Kent and Medway Integrated Care Board,Women whose smoking status was not known at time of delivery,1
2022-2023,1,E54000034,NHS Frimley Integrated Care Board,Number of maternities,2789
2022-2023,1,E54000034,NHS Frimley Integrated Care Board,Women known to be non-smokers at time of delivery,1562
2022-2023,1,E54000034,NHS Frimley Integrated Care Board,Women known to be smokers at time of delivery,107
2022-2023,1,E54000034,NHS Frimley Integrated Care Board,Women whose smoking status was not known at time of delivery,1120
2022-2023,1,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,Number of maternities,3983
2022-2023,1,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,Women known to be non-smokers at time of delivery,3453
2022-2023,1,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,Women known to be smokers at time of delivery,358
2022-2023,1,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,Women whose smoking status was not known at time of delivery,172
2022-2023,1,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",Number of maternities,4091
2022-2023,1,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",Women known to be non-smokers at time of delivery,3552
2022-2023,1,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",Women known to be smokers at time of delivery,253
2022-2023,1,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",Women whose smoking status was not known at time of delivery,286
2022-2023,1,E54000052,NHS Surrey Heartlands Integrated Care Board,Number of maternities,2417
2022-2023,1,E54000052,NHS Surrey Heartlands Integrated Care Board,Women known to be non-smokers at time of delivery,2241
2022-2023,1,E54000052,NHS Surrey Heartlands Integrated Care Board,Women known to be smokers at time of delivery,141
2022-2023,1,E54000052,NHS Surrey Heartlands Integrated Care Board,Women whose smoking status was not known at time of delivery,35
2022-2023,1,E54000053,NHS Sussex Integrated Care Board,Number of maternities,3496
2022-2023,1,E54000053,NHS Sussex Integrated Care Board,Women known to be non-smokers at time of delivery,3159
2022-2023,1,E54000053,NHS Sussex Integrated Care Board,Women known to be smokers at time of delivery,299
2022-2023,1,E54000053,NHS Sussex Integrated Care Board,Women whose smoking status was not known at time of delivery,38
2022-2023,1,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,Number of maternities,1058
2022-2023,1,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,Women known to be non-smokers at time of delivery,927
2022-2023,1,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,Women known to be smokers at time of delivery,121
2022-2023,1,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,Women whose smoking status was not known at time of delivery,10
2022-2023,1,E54000037,NHS Devon Integrated Care Board,Number of maternities,1417
2022-2023,1,E54000037,NHS Devon Integrated Care Board,Women known to be non-smokers at time of delivery,952
2022-2023,1,E54000037,NHS Devon Integrated Care Board,Women known to be smokers at time of delivery,113
2022-2023,1,E54000037,NHS Devon Integrated Care Board,Women whose smoking status was not known at time of delivery,352
2022-2023,1,E54000038,NHS Somerset Integrated Care Board,Number of maternities,1145
2022-2023,1,E54000038,NHS Somerset Integrated Care Board,Women known to be non-smokers at time of delivery,1024
2022-2023,1,E54000038,NHS Somerset Integrated Care Board,Women known to be smokers at time of delivery,118
2022-2023,1,E54000038,NHS Somerset Integrated Care Board,Women whose smoking status was not known at time of delivery,3
2022-2023,1,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Number of maternities,2238
2022-2023,1,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Women known to be non-smokers at time of delivery,2077
2022-2023,1,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Women known to be smokers at time of delivery,161
2022-2023,1,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Women whose smoking status was not known at time of delivery,0
2022-2023,1,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Number of maternities,1965
2022-2023,1,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Women known to be non-smokers at time of delivery,1814
2022-2023,1,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Women known to be smokers at time of delivery,151
2022-2023,1,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Women whose smoking status was not known at time of delivery,0
2022-2023,1,E54000041,NHS Dorset Integrated Care Board,Number of maternities,1293
2022-2023,1,E54000041,NHS Dorset Integrated Care Board,Women known to be non-smokers at time of delivery,1106
2022-2023,1,E54000041,NHS Dorset Integrated Care Board,Women known to be smokers at time of delivery,122
2022-2023,1,E54000041,NHS Dorset Integrated Care Board,Women whose smoking status was not known at time of delivery,65
2022-2023,1,E54000043,NHS Gloucestershire Integrated Care Board,Number of maternities,1402
2022-2023,1,E54000043,NHS Gloucestershire Integrated Care Board,Women known to be non-smokers at time of delivery,1245
2022-2023,1,E54000043,NHS Gloucestershire Integrated Care Board,Women known to be smokers at time of delivery,128
2022-2023,1,E54000043,NHS Gloucestershire Integrated Care Board,Women whose smoking status was not known at time of delivery,29
2022-2023,1,E54000022,NHS Norfolk and Waveney Integrated Care Board ,Number of maternities,1973
2022-2023,1,E54000022,NHS Norfolk and Waveney Integrated Care Board ,Women known to be non-smokers at time of delivery,1742
2022-2023,1,E54000022,NHS Norfolk and Waveney Integrated Care Board ,Women known to be smokers at time of delivery,212
2022-2023,1,E54000022,NHS Norfolk and Waveney Integrated Care Board ,Women whose smoking status was not known at time of delivery,19
2022-2023,1,E54000023,NHS Suffolk and North East Essex Integrated Care Board,Number of maternities,2134
2022-2023,1,E54000023,NHS Suffolk and North East Essex Integrated Care Board,Women known to be non-smokers at time of delivery,1878
2022-2023,1,E54000023,NHS Suffolk and North East Essex Integrated Care Board,Women known to be smokers at time of delivery,197
2022-2023,1,E54000023,NHS Suffolk and North East Essex Integrated Care Board,Women whose smoking status was not known at time of delivery,59
2022-2023,1,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Number of maternities,2773
2022-2023,1,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Women known to be non-smokers at time of delivery,2048
2022-2023,1,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Women known to be smokers at time of delivery,154
2022-2023,1,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Women whose smoking status was not known at time of delivery,571
2022-2023,1,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,Number of maternities,3606
2022-2023,1,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,Women known to be non-smokers at time of delivery,3293
2022-2023,1,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,Women known to be smokers at time of delivery,219
2022-2023,1,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,Women whose smoking status was not known at time of delivery,94
2022-2023,1,E54000026,NHS Mid and South Essex Integrated Care Board,Number of maternities,2716
2022-2023,1,E54000026,NHS Mid and South Essex Integrated Care Board,Women known to be non-smokers at time of delivery,2446
2022-2023,1,E54000026,NHS Mid and South Essex Integrated Care Board,Women known to be smokers at time of delivery,214
2022-2023,1,E54000026,NHS Mid and South Essex Integrated Care Board,Women whose smoking status was not known at time of delivery,56
2022-2023,1,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,Number of maternities,2270
2022-2023,1,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,Women known to be non-smokers at time of delivery,1972
2022-2023,1,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,Women known to be smokers at time of delivery,185
2022-2023,1,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,Women whose smoking status was not known at time of delivery,113
2022-2023,1,E54000008,NHS Cheshire and Merseyside Integrated Care Board,Number of maternities,4629
2022-2023,1,E54000008,NHS Cheshire and Merseyside Integrated Care Board,Women known to be non-smokers at time of delivery,4082
2022-2023,1,E54000008,NHS Cheshire and Merseyside Integrated Care Board,Women known to be smokers at time of delivery,523
2022-2023,1,E54000008,NHS Cheshire and Merseyside Integrated Care Board,Women whose smoking status was not known at time of delivery,24
2022-2023,1,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,Number of maternities,3989
2022-2023,1,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,Women known to be non-smokers at time of delivery,3382
2022-2023,1,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,Women known to be smokers at time of delivery,490
2022-2023,1,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,Women whose smoking status was not known at time of delivery,117
2022-2023,1,E54000057,NHS Greater Manchester Integrated Care Board,Number of maternities,8010
2022-2023,1,E54000057,NHS Greater Manchester Integrated Care Board,Women known to be non-smokers at time of delivery,7286
2022-2023,1,E54000057,NHS Greater Manchester Integrated Care Board,Women known to be smokers at time of delivery,723
2022-2023,1,E54000057,NHS Greater Manchester Integrated Care Board,Women whose smoking status was not known at time of delivery,1
2022-2023,1,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Number of maternities,2623
2022-2023,1,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Women known to be non-smokers at time of delivery,2296
2022-2023,1,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Women known to be smokers at time of delivery,299
2022-2023,1,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Women whose smoking status was not known at time of delivery,28
2022-2023,1,E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",Number of maternities,1092
2022-2023,1,E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",Women known to be non-smokers at time of delivery,941
2022-2023,1,E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",Women known to be smokers at time of delivery,132
2022-2023,1,E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",Women whose smoking status was not known at time of delivery,19
2022-2023,1,E54000013,NHS Lincolnshire Integrated Care Board,Number of maternities,1495
2022-2023,1,E54000013,NHS Lincolnshire Integrated Care Board,Women known to be non-smokers at time of delivery,1271
2022-2023,1,E54000013,NHS Lincolnshire Integrated Care Board,Women known to be smokers at time of delivery,197
2022-2023,1,E54000013,NHS Lincolnshire Integrated Care Board,Women whose smoking status was not known at time of delivery,27
2022-2023,1,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",Number of maternities,2323
2022-2023,1,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",Women known to be non-smokers at time of delivery,2096
2022-2023,1,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",Women known to be smokers at time of delivery,227
2022-2023,1,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",Women whose smoking status was not known at time of delivery,0
2022-2023,1,E54000018,NHS Coventry and Warwickshire Integrated Care Board,Number of maternities,2231
2022-2023,1,E54000018,NHS Coventry and Warwickshire Integrated Care Board,Women known to be non-smokers at time of delivery,1945
2022-2023,1,E54000018,NHS Coventry and Warwickshire Integrated Care Board,Women known to be smokers at time of delivery,164
2022-2023,1,E54000018,NHS Coventry and Warwickshire Integrated Care Board,Women whose smoking status was not known at time of delivery,122
2022-2023,1,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,Number of maternities,1553
2022-2023,1,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,Women known to be non-smokers at time of delivery,1399
2022-2023,1,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,Women known to be smokers at time of delivery,153
2022-2023,1,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,Women whose smoking status was not known at time of delivery,1
2022-2023,1,E54000055,NHS Birmingham and Solihull Integrated Care Board,Number of maternities,3682
2022-2023,1,E54000055,NHS Birmingham and Solihull Integrated Care Board,Women known to be non-smokers at time of delivery,3381
2022-2023,1,E54000055,NHS Birmingham and Solihull Integrated Care Board,Women known to be smokers at time of delivery,282
2022-2023,1,E54000055,NHS Birmingham and Solihull Integrated Care Board,Women whose smoking status was not known at time of delivery,19
2022-2023,1,E54000058,NHS Derby and Derbyshire Integrated Care Board,Number of maternities,2307
2022-2023,1,E54000058,NHS Derby and Derbyshire Integrated Care Board,Women known to be non-smokers at time of delivery,2044
2022-2023,1,E54000058,NHS Derby and Derbyshire Integrated Care Board,Women known to be smokers at time of delivery,246
2022-2023,1,E54000058,NHS Derby and Derbyshire Integrated Care Board,Women whose smoking status was not known at time of delivery,17
2022-2023,1,E54000059,NHS Northamptonshire Integrated Care Board,Number of maternities,1896
2022-2023,1,E54000059,NHS Northamptonshire Integrated Care Board,Women known to be non-smokers at time of delivery,1673
2022-2023,1,E54000059,NHS Northamptonshire Integrated Care Board,Women known to be smokers at time of delivery,212
2022-2023,1,E54000059,NHS Northamptonshire Integrated Care Board,Women whose smoking status was not known at time of delivery,11
2022-2023,1,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,Number of maternities,2609
2022-2023,1,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,Women known to be non-smokers at time of delivery,2223
2022-2023,1,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,Women known to be smokers at time of delivery,339
2022-2023,1,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,Women whose smoking status was not known at time of delivery,47
2022-2023,1,E54000062,NHS Black Country Integrated Care Board,Number of maternities,4076
2022-2023,1,E54000062,NHS Black Country Integrated Care Board,Women known to be non-smokers at time of delivery,3668
2022-2023,1,E54000062,NHS Black Country Integrated Care Board,Women known to be smokers at time of delivery,398
2022-2023,1,E54000062,NHS Black Country Integrated Care Board,Women whose smoking status was not known at time of delivery,10
2022-2023,1,E54000050,NHS North East and North Cumbria Integrated Care Board,Number of maternities,6581
2022-2023,1,E54000050,NHS North East and North Cumbria Integrated Care Board,Women known to be non-smokers at time of delivery,5750
2022-2023,1,E54000050,NHS North East and North Cumbria Integrated Care Board,Women known to be smokers at time of delivery,807
2022-2023,1,E54000050,NHS North East and North Cumbria Integrated Care Board,Women whose smoking status was not known at time of delivery,24
2022-2023,1,E54000051,NHS Humber and North Yorkshire Integrated Care Board,Number of maternities,3517
2022-2023,1,E54000051,NHS Humber and North Yorkshire Integrated Care Board,Women known to be non-smokers at time of delivery,3080
2022-2023,1,E54000051,NHS Humber and North Yorkshire Integrated Care Board,Women known to be smokers at time of delivery,431
2022-2023,1,E54000051,NHS Humber and North Yorkshire Integrated Care Board,Women whose smoking status was not known at time of delivery,6
2022-2023,1,E54000054,NHS West Yorkshire Integrated Care Board,Number of maternities,4224
2022-2023,1,E54000054,NHS West Yorkshire Integrated Care Board,Women known to be non-smokers at time of delivery,3728
2022-2023,1,E54000054,NHS West Yorkshire Integrated Care Board,Women known to be smokers at time of delivery,452
2022-2023,1,E54000054,NHS West Yorkshire Integrated Care Board,Women whose smoking status was not known at time of delivery,44
2022-2023,1,E54000061,NHS South Yorkshire Integrated Care Board,Number of maternities,3286
2022-2023,1,E54000061,NHS South Yorkshire Integrated Care Board,Women known to be non-smokers at time of delivery,2850
2022-2023,1,E54000061,NHS South Yorkshire Integrated Care Board,Women known to be smokers at time of delivery,391
2022-2023,1,E54000061,NHS South Yorkshire Integrated Care Board,Women whose smoking status was not known at time of delivery,45
2022-2023,1,E38000256,NHS North West London ICB - W2U3Z,Number of maternities,5326
2022-2023,1,E38000256,NHS North West London ICB - W2U3Z,Women known to be non-smokers at time of delivery,5119
2022-2023,1,E38000256,NHS North West London ICB - W2U3Z,Women known to be smokers at time of delivery,190
2022-2023,1,E38000256,NHS North West London ICB - W2U3Z,Women whose smoking status was not known at time of delivery,17
2022-2023,1,E38000240,NHS North Central London ICB - 93C,Number of maternities,3891
2022-2023,1,E38000240,NHS North Central London ICB - 93C,Women known to be non-smokers at time of delivery,3595
2022-2023,1,E38000240,NHS North Central London ICB - 93C,Women known to be smokers at time of delivery,203
2022-2023,1,E38000240,NHS North Central London ICB - 93C,Women whose smoking status was not known at time of delivery,93
2022-2023,1,E38000255,NHS North East London ICB - A3A8R,Number of maternities,6716
2022-2023,1,E38000255,NHS North East London ICB - A3A8R,Women known to be non-smokers at time of delivery,6358
2022-2023,1,E38000255,NHS North East London ICB - A3A8R,Women known to be smokers at time of delivery,319
2022-2023,1,E38000255,NHS North East London ICB - A3A8R,Women whose smoking status was not known at time of delivery,39
2022-2023,1,E38000244,NHS South East London ICB - 72Q,Number of maternities,4795
2022-2023,1,E38000244,NHS South East London ICB - 72Q,Women known to be non-smokers at time of delivery,4538
2022-2023,1,E38000244,NHS South East London ICB - 72Q,Women known to be smokers at time of delivery,225
2022-2023,1,E38000244,NHS South East London ICB - 72Q,Women whose smoking status was not known at time of delivery,32
2022-2023,1,E38000245,NHS South West London ICB - 36L,Number of maternities,2492
2022-2023,1,E38000245,NHS South West London ICB - 36L,Women known to be non-smokers at time of delivery,2216
2022-2023,1,E38000245,NHS South West London ICB - 36L,Women known to be smokers at time of delivery,145
2022-2023,1,E38000245,NHS South West London ICB - 36L,Women whose smoking status was not known at time of delivery,131
2022-2023,1,E38000237,NHS Kent and Medway ICB - 91Q,Number of maternities,4477
2022-2023,1,E38000237,NHS Kent and Medway ICB - 91Q,Women known to be non-smokers at time of delivery,3987
2022-2023,1,E38000237,NHS Kent and Medway ICB - 91Q,Women known to be smokers at time of delivery,489
2022-2023,1,E38000237,NHS Kent and Medway ICB - 91Q,Women whose smoking status was not known at time of delivery,1
2022-2023,1,E38000252,NHS Frimley ICB - D4U1Y,Number of maternities,2789
2022-2023,1,E38000252,NHS Frimley ICB - D4U1Y,Women known to be non-smokers at time of delivery,1562
2022-2023,1,E38000252,NHS Frimley ICB - D4U1Y,Women known to be smokers at time of delivery,107
2022-2023,1,E38000252,NHS Frimley ICB - D4U1Y,Women whose smoking status was not known at time of delivery,1120
2022-2023,1,E38000137,NHS Hampshire and Isle of Wight ICB - 10R,Number of maternities,480
2022-2023,1,E38000137,NHS Hampshire and Isle of Wight ICB - 10R,Women known to be non-smokers at time of delivery,370
2022-2023,1,E38000137,NHS Hampshire and Isle of Wight ICB - 10R,Women known to be smokers at time of delivery,51
2022-2023,1,E38000137,NHS Hampshire and Isle of Wight ICB - 10R,Women whose smoking status was not known at time of delivery,59
2022-2023,1,E38000253,NHS Hampshire and Isle of Wight ICB - D9Y0V,Number of maternities,3503
2022-2023,1,E38000253,NHS Hampshire and Isle of Wight ICB - D9Y0V,Women known to be non-smokers at time of delivery,3083
2022-2023,1,E38000253,NHS Hampshire and Isle of Wight ICB - D9Y0V,Women known to be smokers at time of delivery,307
2022-2023,1,E38000253,NHS Hampshire and Isle of Wight ICB - D9Y0V,Women whose smoking status was not known at time of delivery,113
2022-2023,1,E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",Number of maternities,1564
2022-2023,1,E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",Women known to be non-smokers at time of delivery,1443
2022-2023,1,E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",Women known to be smokers at time of delivery,107
2022-2023,1,E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",Women whose smoking status was not known at time of delivery,14
2022-2023,1,E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",Number of maternities,1197
2022-2023,1,E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",Women known to be non-smokers at time of delivery,1063
2022-2023,1,E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",Women known to be smokers at time of delivery,76
2022-2023,1,E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",Women whose smoking status was not known at time of delivery,58
2022-2023,1,E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",Number of maternities,1330
2022-2023,1,E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",Women known to be non-smokers at time of delivery,1046
2022-2023,1,E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",Women known to be smokers at time of delivery,70
2022-2023,1,E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",Women whose smoking status was not known at time of delivery,214
2022-2023,1,E38000246,NHS Surrey Heartlands ICB - 92A,Number of maternities,2417
2022-2023,1,E38000246,NHS Surrey Heartlands ICB - 92A,Women known to be non-smokers at time of delivery,2241
2022-2023,1,E38000246,NHS Surrey Heartlands ICB - 92A,Women known to be smokers at time of delivery,141
2022-2023,1,E38000246,NHS Surrey Heartlands ICB - 92A,Women whose smoking status was not known at time of delivery,35
2022-2023,1,E38000021,NHS Sussex ICB - 09D,Number of maternities,530
2022-2023,1,E38000021,NHS Sussex ICB - 09D,Women known to be non-smokers at time of delivery,490
2022-2023,1,E38000021,NHS Sussex ICB - 09D,Women known to be smokers at time of delivery,33
2022-2023,1,E38000021,NHS Sussex ICB - 09D,Women whose smoking status was not known at time of delivery,7
2022-2023,1,E38000235,NHS Sussex ICB - 97R,Number of maternities,1114
2022-2023,1,E38000235,NHS Sussex ICB - 97R,Women known to be non-smokers at time of delivery,984
2022-2023,1,E38000235,NHS Sussex ICB - 97R,Women known to be smokers at time of delivery,107
2022-2023,1,E38000235,NHS Sussex ICB - 97R,Women whose smoking status was not known at time of delivery,23
2022-2023,1,E38000248,NHS Sussex ICB - 70F,Number of maternities,1852
2022-2023,1,E38000248,NHS Sussex ICB - 70F,Women known to be non-smokers at time of delivery,1685
2022-2023,1,E38000248,NHS Sussex ICB - 70F,Women known to be smokers at time of delivery,159
2022-2023,1,E38000248,NHS Sussex ICB - 70F,Women whose smoking status was not known at time of delivery,8
2022-2023,1,E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,Number of maternities,1058
2022-2023,1,E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,Women known to be non-smokers at time of delivery,927
2022-2023,1,E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,Women known to be smokers at time of delivery,121
2022-2023,1,E38000089,NHS Cornwall and The Isles Of Scilly ICB - 11N,Women whose smoking status was not known at time of delivery,10
2022-2023,1,E38000230,NHS Devon ICB - 15N,Number of maternities,1417
2022-2023,1,E38000230,NHS Devon ICB - 15N,Women known to be non-smokers at time of delivery,952
2022-2023,1,E38000230,NHS Devon ICB - 15N,Women known to be smokers at time of delivery,113
2022-2023,1,E38000230,NHS Devon ICB - 15N,Women whose smoking status was not known at time of delivery,352
2022-2023,1,E38000150,NHS Somerset ICB - 11X,Number of maternities,1145
2022-2023,1,E38000150,NHS Somerset ICB - 11X,Women known to be non-smokers at time of delivery,1024
2022-2023,1,E38000150,NHS Somerset ICB - 11X,Women known to be smokers at time of delivery,118
2022-2023,1,E38000150,NHS Somerset ICB - 11X,Women whose smoking status was not known at time of delivery,3
2022-2023,1,E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",Number of maternities,2238
2022-2023,1,E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",Women known to be non-smokers at time of delivery,2077
2022-2023,1,E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",Women known to be smokers at time of delivery,161
2022-2023,1,E38000222,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",Women whose smoking status was not known at time of delivery,0
2022-2023,1,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G",Number of maternities,1965
